Basic Block,Assembly,Source Line,CPU Time,CPU Time:Effective Time,CPU Time:Effective Time:Idle,CPU Time:Effective Time:Poor,CPU Time:Effective Time:Ok,CPU Time:Effective Time:Ideal,CPU Time:Effective Time:Over,CPU Time:Spin Time,CPU Time:Overhead Time,Instructions Retired,CPI Rate,CPU Frequency Ratio,Module,Function (Full),Source File,Module Path,Function Range Size,Start Address
0x3bd78,"movq  0x18(%rbp), %r10",299,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd7c,"movq  0x20(%rbp), %rax",299,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd80,"vmovd %edx, %xmm1",391,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd84,"vmovd %esi, %xmm3",390,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd88,"movq  %r12, 0x20(%rsp)",390,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd8d,"vptestmd %zmm2, %zmm2, %k0{%k1}",389,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd93,"knotw %k0, %k1",389,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd97,"vpbroadcastd %xmm1, %ymm2",391,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bd9c,"vpbroadcastd %xmm3, %ymm1",390,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bda1,"vpxord %zmm0, %zmm0, %zmm0",391,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bda7,Block 14,[Unknown],,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bda7,"leal  (%rcx,%rcx,8), %esi",390,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bdaa,"mov %ecx, %r9d",387,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bdad,"xor %edx, %edx",388,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bdaf,"shl $0x6, %esi",390,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bdb2,"movl  %esi, (%rsp)",390,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bdb5,"movl  %ecx, 0x18(%rsp)",390,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bdb9,"movq  (%rax,%r9,8), %r8",387,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bdbd,"movl  %ebx, 0x1a0(%rsp)",390,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bdc4,Block 15,[Unknown],0.020046,0.020046,0.0,0.020046,0.0,0.0,0.0,0.0,0.0,26000000,3.000000,3.000000,[Unknown],[Unknown],[Unknown],[Unknown],0x0,0x0
0x3bdc4,"leal  (%rdx,%rdx,2), %esi",390,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bdc7,"movl  (%rsp), %eax",390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13000000,1.000000,,libpll.so.0.0.0,pll_core_update_sumtable_ii_20x20_avx512f,core_derivatives_avx512f.c,/home/hpc/pr63lo/di56sad2/rudolf/libpll/src/.libs/libpll.so.0.0.0,0x1c20,0x3bc30
0x3bdca,"leal  (,%rsi,8), %r12d",390,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bdd2,"leal  (%rax,%rsi,8), %eax",390,0.010023,0.010023,0.0,0.010023,0.0,0.0,0.0,0.0,0.0,0,,3.000000,libpll.so.0.0.0,pll_core_update_sumtable_ii_20x20_avx512f,core_derivatives_avx512f.c,/home/hpc/pr63lo/di56sad2/rudolf/libpll/src/.libs/libpll.so.0.0.0,0x1c20,0x3bc30
0x3bdd5,"mov %eax, %r15d",390,0.010023,0.010023,0.0,0.010023,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,libpll.so.0.0.0,pll_core_update_sumtable_ii_20x20_avx512f,core_derivatives_avx512f.c,/home/hpc/pr63lo/di56sad2/rudolf/libpll/src/.libs/libpll.so.0.0.0,0x1c20,0x3bc30
0x3bdd8,"leaq  (%r13,%r15,8), %rdi",390,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13000000,0.0,0.0,libpll.so.0.0.0,pll_core_update_sumtable_ii_20x20_avx512f,core_derivatives_avx512f.c,/home/hpc/pr63lo/di56sad2/rudolf/libpll/src/.libs/libpll.so.0.0.0,0x1c20,0x3bc30
0x3bddd,"leaq  (%r14,%r15,8), %rbx",392,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bde1,"cmp %rdi, %rbx",390,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bde4,jbe 0x3bdf5 <Block 17>,390,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bde6,Block 16,[Unknown],,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bde6,"mov %rbx, %rcx",390,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bde9,"sub %rdi, %rcx",390,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bdec,"cmp $0xa0, %rcx",390,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bdf3,jnl 0x3be0e <Block 19>,390,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bdf5,Block 17,[Unknown],0.040093,0.040093,0.0,0.040093,0.0,0.0,0.0,0.0,0.0,13000000,3.000000,0.750000,[Unknown],[Unknown],[Unknown],[Unknown],0x0,0x0
0x3bdf5,"cmp %rbx, %rdi",390,0.040093,0.040093,0.0,0.040093,0.0,0.0,0.0,0.0,0.0,13000000,3.000000,0.750000,libpll.so.0.0.0,pll_core_update_sumtable_ii_20x20_avx512f,core_derivatives_avx512f.c,/home/hpc/pr63lo/di56sad2/rudolf/libpll/src/.libs/libpll.so.0.0.0,0x1c20,0x3bc30
0x3bdf8,jbe 0x3bf46 <Block 20>,390,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3bdfe,Block 18,[Unknown],0.040093,0.040093,0.0,0.040093,0.0,0.0,0.0,0.0,0.0,13000000,1.000000,0.250000,[Unknown],[Unknown],[Unknown],[Unknown],0x0,0x0
0x3bdfe,"sub %rbx, %rdi",390,0.030069,0.030069,0.0,0.030069,0.0,0.0,0.0,0.0,0.0,13000000,0.0,0.0,libpll.so.0.0.0,pll_core_update_sumtable_ii_20x20_avx512f,core_derivatives_avx512f.c,/home/hpc/pr63lo/di56sad2/rudolf/libpll/src/.libs/libpll.so.0.0.0,0x1c20,0x3bc30
0x3be01,"cmp $0xa0, %rdi",390,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3be08,jl 0x3bf46 <Block 20>,390,0.010023,0.010023,0.0,0.010023,0.0,0.0,0.0,0.0,0.0,0,,1.000000,libpll.so.0.0.0,pll_core_update_sumtable_ii_20x20_avx512f,core_derivatives_avx512f.c,/home/hpc/pr63lo/di56sad2/rudolf/libpll/src/.libs/libpll.so.0.0.0,0x1c20,0x3bc30
0x3be0e,Block 19,[Unknown],1.172709,1.172709,0.0,1.172709,0.0,0.0,0.0,0.0,0.0,1326000000,1.392157,1.213675,[Unknown],[Unknown],[Unknown],[Unknown],0x0,0x0
0x3be0e,"vmovd %edx, %xmm5",390,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3be12,"vmovd %eax, %xmm3",391,0.010023,0.010023,0.0,0.010023,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,libpll.so.0.0.0,pll_core_update_sumtable_ii_20x20_avx512f,core_derivatives_avx512f.c,/home/hpc/pr63lo/di56sad2/rudolf/libpll/src/.libs/libpll.so.0.0.0,0x1c20,0x3bc30
0x3be16,"vpbroadcastd %xmm5, %ymm6",390,,,,,,,,,,,,,[Unknown],[Unknown],[Unknown],[Unknown],[Unknown],[Unknown]
0x3be1b,"add $0x10, %eax",391,0.020046,0.020046,0.0,0.020046,0.0,0.0,0.0,0.0,0.0,26000000,0.500000,0.500000,libpll.so.0.0.0,pll_core_update_sumtable_ii_20x20_avx512f,core_derivatives_avx512f.c,/home/hpc/pr63lo/di56sad2/rudolf/libpll/src/.libs/libpll.so.0.0.0,0x1c20,0x3bc30
